磁极|cíjí|NOUN magnetic pole
动真格|dòng//zhēngé|VERB do sth. in real earnest &#25919;&#24220;&#38130;&#38500;&#33104;&#36133;&#21160;&#20102;&#30495;&#26684;&#12290; zh&#232;ngf&#468; ch&#462;nch&#250; f&#468;b&#224;i d&#242;ng le zh&#275;ng&#233;.
值日生|zhírìshēng|student on duty
盘货|pán//huò|VERB make an inventory of stock on hand; take stock &#20170;&#26085;&#30424;&#36135;, &#20572;&#19994;&#21322;&#22825;&#12290; J&#299;nr&#236; p&#225;nhu&#242;, t&#237;ngy&#232; b&#224;n ti&#257;n. Cl
勾销|gōuxiāo|VERB liquidate; write off; strike out &#21246;&#38144;&#20538;&#21153; G&#333;uxi&#257;o zh&#224;iw&#249; liquidate a debt
横财|hèngcái|NOUN ill-gotten wealth (or gains) &#21457;&#27178;&#36130; f&#257; h&#232;ngc&#225;i get rich by foul means
大功告成|dàgōnggàochéng|be brought to successful completion; be accomplished; be crowned with success
祭品|jìpǐn|NOUN sacrificial offerings; oblation
妖精|yāojing|NOUN 1&#9;evil spirit; demon 2&#9;seductress; siren
盘点|pándiǎn|VERB check; make an inventory of &#30424;&#28857;&#23384;&#36135; p&#225;ndi&#462;n c&#250;nhu&#242; take stock; inventory check
带话|dài//huà|VERB COLLOQUIAL take an oral message &#35831;&#20154;&#24102;&#20010;&#35805;&#20799;&#32473;&#22905;&#12290; Q&#464;ng r&#233;n d&#224;i ge hu&#224;r g&#283;i t&#257;. Ask somebody to take her a mess
开动|kāi//dòng|VERB 1&#9;start (up); set in motion &#24320;&#21160;&#26426;&#22120; K&#257;id&#242;ng j&#299;q&#236; start a machine &#24320;&#21160;&#33041;&#31563; k&#257;id&#242;ng n&#462;oj&#299;n use (or rack, 
公私不分|gōngsībùfēn|make no distinction between public and private interests
呆瓜|dāiguā|1&#9;idiot 2&#9;fool
老成|lǎochéng|ADJECTIVE experienced; steady &#32769;&#25104;&#32451;&#36798; l&#462;o ch&#233;ng li&#224;n d&#225; wise and sophisticated &#32769;&#25104;&#20043;&#35265; l&#462;o ch&#233;ng zh&#299; ji&#224;n prud
住口|zhù//kǒu|VERB shut up; stop talking (opp. &#24320;&#21475;) &#20320;&#32473;&#25105;&#20303;&#21475;&#65281; N&#464; g&#283;i w&#466; zh&#249;k&#466;u! Hold your tongue! or Be quiet!
视若无睹|shìruò-wúdǔ|IDIOM take no notice of what one sees&#8212;shut one's eyes to; turn a blind eye to; ignore
置喙|zhìhuì|VERB LITERARY [usu. in the negative] interfere; intervene
脊椎|jǐzhuī|NOUN 1&#9;spinal column 2&#9;vertebra
满目疮痍|mǎnmùchuāngyí|IDIOM Everywhere a scene of devastation meets the eye.
