打发时间|dǎfāshíjiān|to pass the time
清秀|qīngxiù|ADJECTIVEdelicate and pretty&#23665;&#27700;&#28165;&#31168;sh&#257;nshu&#464; q&#299;ngxi&#249;beautiful landscape&#38271;&#24471;&#24456;&#28165;&#31168;&#30340;&#22899;&#23401;zh&#462;ng de h&#283;
阳刚|yánggāng|ADJECTIVEmanly; virile (opp. &#38452;&#26580;)&#38451;&#21018;&#20043;&#27668;y&#225;ngg&#257;ngzh&#299;q&#236;manliness; virility
栗子|lìzi|NOUNchestnut&#31958;&#28818;&#26647;&#23376;t&#225;ng ch&#462;o l&#236;zisugar-roasted chestnuts
喝断片|hēduànpiàn|to get blackout drunk (slang)
拼盘|pīnpán|NOUNassorted cold dish; ie 水果拼盘 for a fruit plate at a club!
阒然|qùrán|ADJECTIVELITERARYquiet; still&#38418;&#28982;&#26080;&#22768;Q&#249;r&#225;nw&#250;sh&#275;ngvery quiet; absolutely still&#22235;&#37326;&#38418;&#28982;&#12290;S&#236;y&#283; q&#249; r&#225;n.All was
备胎|bèitāi|1&#9;spare tire2&#9;(slang) fallback guy (or girl)
可乐饼|kělèbǐng|croquette
首当其冲|shǒudāng-qíchōng|IDIOMthe first to be affected (by a disaster, etc.); bear the brunt of
下头|xiàtou|NOUN1&#9;below; under; underneath&#22823;&#26725;&#19979;&#38754;d&#224; qi&#225;o xi&#224;mianunder the bridge&#22270;&#34920;&#19979;&#38754;&#30340;&#35828;&#26126;t&#250;bi&#462;o xi&#224;mian de 
扭扭捏捏|niǔniǔniēniē|1&#9;affecting shyness or embarrassment2&#9;coy3&#9;mincing (walk, manner of speech)4&#9;mannered
逃荒|táo//huāng|VERBflee from famine; leave a famine-stricken area
布巾|bùjīn|a cloth
灾荒|zāihuāng|NOUNfamine due to crop failures&#21435;&#24180;&#20182;&#32769;&#23478;&#38393;&#20102;&#28798;&#33618;&#12290;Q&#249;ni&#225;n t&#257; l&#462;oji&#257; n&#224;o le z&#257;ihu&#257;ng.Famine hit his h
落叶归根|luòyèguīgēn|IDIOMThe falling leaves settle on the roots.&#8212;A person residing elsewhere finally returns to his ancestral home.
牛头马面|Niútóu-Mǎmiàn|IDIOMOx Head and Horse Face (two demon attendants of the King of Hell)&#8212;crafty people; wicked person
丫鬟|yāhuan|NOUNDATEDslave (or servant) girl; maid
丧葬|sāngzàng|NOUNburial; funeral
细调|xìdiào|to fine tune
