賢人|けんじん|Wise man
小学校で子供たちの劇を見ました。|しょうがっこうで こどもたちの げきを みました|I saw a children's play at an elementary school.
驚かす|おどろかす|Suprise / Amaze
きゅうりに味噌をつけて食べたの。|きゅうりに みそをつけて たべたの|I ate cucumber with miso on it.
五十音|ごじゅうおん|Japanese Syllabary
アジアの主食は米です。|の しゅしょくは こめです|The staple food of Asia is rice.
涙声|なみだごえ|Tearful voice
運送屋|うんそうや|forwarding agency; express company
私の勤め先にご連絡ください。|わたしの めつとめさきにご れんらくください|Please contact my office.
専門家だけあって彼はその分野に詳しい。|せんもんかだけあって かれはその ぶんやに くわしい|As may be expected of an expert, he's well versed in the field
交通費は個人負担です。|こうつうひは こじん ふたんです|Transportation costs are covered by the individual.
城壁|じょうへき|Castle walls
画像ファイル|がぞうふぁいる|Graphics file
考えている最中に、話しかけられて困った|かんがえている さいちゅうに はなしかけられて こまった|When I was in the middle of thinking about it, I got interrupted
男子用トイレ|だんしよう|Mens room / The gents
品切れ|しなぎれ|Run out / sell out
疲れた体を休めてください。|つかれた からだを やすめてください|Please rest your weary bones.
お母さんは子供に本を読ませました|お かあさんは こどもに ほんを よませました|The mother made/let her child read the book
言い訳|いいいわけ|Apology / Excuse
作り上げる|りつくりあげる|To make up / build up
そんな悪徳業者には賛成しかねる|そんな あくとく ぎょうしゃには さんせいしかねる|I cannot agree with such an unscrupulous businessman
高級言語|こうきゅうげんご|Another word for high level language
錆び|さび|Rust
妻|つま|Wife
無線局|むせんきょく|Radio station
新聞記事|しんぶんきじ|Newspaper Article
~てもはじまらない|てもはじまらない|it’s no use…
脂肪|しぼう|Fat / Grease
裏|うら|Reverse side / wrong side / back
調子|ちょうし|Condition / Shape
彼女はインフルエンザにかかっていますね。|かのじょはにかかっていますね|She has come down with the flu.
この子は本当に行儀の良い子です。|この こは ほんとうに ぎょうぎの よい こです|This child is very well behaved.
ここは昔から続く漁村です|ここは むかしから つづく ぎょそんです|This has been a fishing village for a long time
こんなに雪が降っては、どこにも出かけられない|こんなに ゆきが ふってはどこにも でかけられない|I can't go out when it snows this much
その会社の製品の真価は長期間使うと良く分かる|その かいしゃの せいひんの しんかは ちょうきかん つかうと よく わかる|You can understand the true value of that company's products after using them fo
田舎|いなか|The inaka
山頂|さんちょう|山のてっぺん
その部屋は始終、人が出入りしているね。|その へやは しじゅう ひとが でいりしているね|People keep going in and out of the room.
交渉決裂|こうしょうけつれつ|Breakdown of negotiations
パスワードを尋ねる不審なメールに注意してください|を たずねる ふしんなに ちゅういしてください|Be careful of suspicious emails that ask for your password
彼はその話を聞いてひどく動揺した。|かれはその はなしを きいてひどく どうようした|The story shook him badly
のろ猫|のろ ねこ|Stray cat
十字路で車とバイクが衝突したぞ。|じゅうじろで くるまとが しょうとつしたぞ|The car collided with a motorcycle in the crossroads.
シェアを獲得する|を かくとくする|To gain market share
この庭は草木が枯れているね。|この にわは くさきが かれているね|The grass/trees dry out in this garden.
不要の電化製品、中古新品を問わず買い取ります。|ふようの でんかせいひん ちゅうこ しんぴんを とわず いかいとります|We'll buy the electrical appliances which you are not using whether they are new
休戦|きゅうせん|Truce / Armistice
ちょっと危ない気がする|ちょっと あぶない きがする|I have a feeling&nbsp;&nbsp;its a little dangerous
航空券|こうくうけん|Airline ticket
仲直り（する）|なかなおりする|To make up / Restoration of friendship
小さなバケツで水を汲んだの。|ちいさなで みずを くんだの|I scooped up some water with a small bucket.
異常な|いじょうな|Strangeness / Abnormality / Disorder
ごみは各自で持ち帰ってください。|ごみは かくじで ちもちかえってください|Please take your own garbage home.
宇宙服|うちゅうふく|Spacesuit
これは私によい教訓を与えた。|これは わたしによい きょうくんを あたえた|This taught me a good lesson
昼飯ぬきで仕事をした.|ひるめしぬきで しごとをした|I continued work without having lunch.
くしゃみをした拍子にメガネが落ちた|くしゃみをした ひょうしにが おちた|My glasses fell as I sneezed
頭皮|とうひ|Scalp
彼女は途中で後戻りしました。|かのじょは とちゅうで あともどりしました|She turned back half-way through.
ドラクエ||Dragon Quest (game)
エンジン本体を取り替えた|ほんたいを りとりかえた|The main body of the engine was changed
彼は演説の途中で言いさしてしまった|かれは えんぜつの とちゅうで いいさしてしまった|He accidentally broke off in the middle of his speech
距離感|きょりかん|Sense of distance (feeling)
ニュースでは標準語が使われるの。|では ひょうじゅんごが つかわれるの|Standard language is used in news broadcasts.
話はこれでお仕舞いです。|はなしはこれでお しまいです|This is the end of the talk.
平均|へいきん|Average
車椅子|くるまいす|Wheelchair
充電する|じゅうでんする|To charge (a phone)
来週、帰省します。|らいしゅう きせいします|I will go home next week.
荷物が多いので大きな入れ物が必要です。|にもつが おおいので おおきな れいれものが ひつようです|There are so many items that we need a big container.
彼は無能だ。|かれは むのうだ|He's incapable.
この小説の主題は反戦です。|この しょうせつの しゅだいは はんせんです|The main theme of this novel is opposition to war.
彼の演説は聴衆に非常な感銘を与えた|かれの えんぜつは ちょうしゅうに ひじょうな かんめいを あたえた|His speech had a great impression on the audience.｜The audience was greatly impr
応募受付は締め切りました。|おうぼ うけつけは めしめきりました|The deadline for receipt of applications is closed.
行事|ぎょうじ|Event / Function
４２．１９５キロを走り切るのは大変なことだ|を はしり きるのは たいへんなことだ|Running the whole 42.195 kilometres is 大変
反攻|はんこう|Counteroffensive
敵|てき|Enemy
僕はほっそりとした体格です|ぼくはほっそりとした たいかくです|I'm slender
先生の論文を読ませていただけないでしょうか？|せんせいの ろんぶんを よませていただけないでしょうか|Would you mind letting me read your paper? (super polite)
砂|すな|Sand
初体験|しょたいけん|First experience (could mean first sexual experience)
終える|おえる|To end / finish
会員|かいいん|Member
私の思ったとおりだった|わたしの おもったとおりだった|It was exactly as I thought
低価格|ていかかく|Low price
転職願望|てんしょく がんぼう|Desire to change jobs
国道|こくどう|National Highway
軍人|ぐんじん|Soldier / Army person
好き嫌い|きすききらい|Likes and dislikes / taste
深夜番組|しんやばんぐみ|Late-night program
これは日本の人名ですか。|これは にっぽんの じんめいですか|Is this a Japanese name?
両親の期待に反して女の子が生まれた。|りょうしんの きたいに はんして のおんなのこが うまれた|Contrary to the parents expectations, a girl was born.
性犯罪者|せいはんざいしゃ|Sex offender
彼は球技が大好きです。|かれは きゅうぎが だいすきです|He loves ball games.
論文にその本を引用したの。|ろんぶんにその ほんを いんようしたの|I quoted the book in my thesis.
すみません、以後気を付けます。|すみません いご きを つけます|Sorry, I'll be more careful from now on.
高かろうが安かろうが、必要なものなら買えばいい。|たかかろうが やすかろうが ひつようなものなら かえばいい|Whether it's expensive or cheap, we should buy it if we need it.
法律|ほうりつ|Law
その話は本当のような気がする|その はなしは ほんとうのような きがする|Something tells me that this story is true
有りの侭|りのありのまま|As it is / unchanged
ぬいぐるみ|ぬいぐるみ|Stuffed Animal (eg Teddy Bear)
古代|こだい|Ancient times / antiquity
間違いを訂正しました。|まちがいを ていせいしました|I corrected the mistakes.
注射|ちゅうしゃ|Injection
大敗北を喫す|だい はいぼくを きっす|To suffer a huge defeat
骨|ほね|Bone
中州|なかす|Sandback
地形|ちけい|geographical features, topography
初期化する|しょきかする|Format / Initialize
めっきり寒くなった。|めっきり さむくなった|It has become noticeably colder.
芽吹き|めぶき|bud; sprout; shoot; (2) opening of a bud
首相は本日声明を発表する予定です。|しゅしょうは ほんじつ せいめいを はっぴょうする よていです|The Prime Minister is to make a statement today
消費税|しょうひぜい|Consumption Tax
処女|しょじょ|Virgin / Maiden (girl)
元カノ|もとかの|Former Girlfriend
総選挙|そうせんきょ|General Election
報酬|ほうしゅう|Remuneration / Reward (think CEO salary)
損害|そんがい|loss, damage
意外（な）|いがいな|Unexpected / accidental / suprising
誰が一番上手か分からない|だれが いちばん じょうずか わからない|I don't know who is the best
自衛隊|じえいたい|Self Defense Forces
焦げる|こげる|To be burned, scortched
栓|せん|Cork / Stopper / Cap
最近彼のところに行き来してないの。|さいきん かれのところに きいききしてないの|I haven't been to his place lately.
五穀米|ごこく まい|That other rice choice, with seeds etc in it too
これは人工の湖です。|これは じんこうの みずうみです|This is an artificial lake.
花に露がついていました。|はなに ろがついていました|There was some dew on the flower.
暴力行為は反対です。|ぼうりょくこういは はんたいです|violent actions are wrong
ぐっすり眠ている|ぐっすり ねむている|Sleeping soundly
電車がぎゅうぎゅうに込んでいますね。|でんしゃがぎゅうぎゅうに こんでいますね|The train is jam-packed.
手紙を書かないまでも電話くらいしろ|てがみを かかないまでも でんわくらいしろ|If you cant be bothered to write to me, at least call
新型|しんがた|New style / New model
当初|とうしょ|original, initial
彼は何か言いたげだった。|かれは なにか いいたげだった|He looked like he wanted to say something.
偽善|ぎぜん|Hypocrisy
きっぱりと彼の頼みを断りなさい。|きっぱりと かれの たのみを ことわりなさい|Turn him down once for all
伝言|でんごん|Message
視界|しかい|Field of vision
ユーロ危機|きき|Euro crisis
再会|さいかい|Reunion
北風|きたかぜ|North wind
お坊さん|お ぼうさん|Monk / Priest
彼女は未来を予知できるそうです|かのじょは みらいを よちできるそうです|Apparently she can predict the future
抱く|いだく|Embrace / Hug
学長|がくちょう|College President
門限|もんげん|curfew
朝は雀の声で目が覚めます。|あさは すずめの こえで めが さめます|I wake up to the sound of sparrows in the morning.
貨物|かもつ|Freight / Cargo
彼女は絶対に日系アメリカ人です。|かのじょは ぜったいに にっけい あめりかじんです|She is definitely a Japanese-American.
実家の母から電報が来ました。|じっかの ははから でんぽうが きました|A telegram came from my mother at home.
彼は犬の柄のTシャツを着ているよ。|かれは いぬの えの てぃーしゃつを きているよ|He's wearing a T-shirt with a dog print on it.
必ずしも高いものがいいというわけではない|かならずしも たかいものがいいというわけではない|It is not necessarily the case that expensive things are good
体重計|たいじゅうけい|Scales for weighing oneself !
火災|かさい|Fire / Conflagration
山下先生に会ったら、そのことを聞こうと思う|やました せんせいに あったらそのことを きこうと おもう|I will ask about it if I see professor Yamashita
デジカメ市場は急速に拡大している。|しじょうは きゅうそくに かくだいしている|The digital camera market has expanded rapidly.
不在|ふざい|Absense
新聞の解説欄を読みました。|しんぶんの かいせつ らんを よみました|I read the comment column in the newspaper.
誰にとっても、一番大切のは健康です|だれにとっても いちばん たいせつのは けんこうです|As far as anyone is concerned, health is the most important thing ( にとって )
開脚|かいきゃく|With the legs spread (!)
暗号|あんごう|Code / Cypher
この事は絶対に口外しません。|この ことは ぜったいに こうがいしません|I'll never tell this to anyone.
脅迫的な|きょうはくてきな|Threatening
比喩的な|ひゆてきな|Metaphorical
秋田県|あきたけん|Akita-ken
つばめが飛んでいますね。|つばめが とんでいますね|The swallows are flying.
目薬|めぐすり|eye drops
字引|じびき|Yet another word for dictionary
彼の話はいつもオーバーです。|かれの はなしはいつもです|His story is always exaggerated.
今、あの国は不景気らしいよ。|いまあの くには ふけいきらしいよ|Apparently, that country is in recession now.
心外（な）|しんがいな|Unjust / Unfair
彼は仕事の本質をよく理解しているわね。|かれは しごとの ほんしつをよく りかいしているわね|He understands the essence of the work well.
人体実験|じんたいじっけん|Testing on a living person
性別|せいべつ|Sex (ie M or F)
国産|こくさん|Domestically Produced
動向|どうこう|trend, tendency
発射|はっしゃ|Shot / Discharge / Blastoff / Launch
文字通り|もじどおり|Literally
日本で生まれた言葉を和語といいます。|にっぽんで うまれた ことばを わごといいます|The words created in Japan are called indigenous Japanese words.
来月中旬にフランスへ行きます。|らい げつちゅうじゅんにへ いきます|I'll go to France in the middle of next month.
愛国心|あいこくしん|Patriotic feelings / Patriotism
彼は過労のために倒れたの。|かれは かろうのために たおれたの|He collapsed from overworking.
両親が日本にいる間に京都に連れていきたい|りょうしんが にっぽんにいる まに きょうとに つれていきたい|I want to take my parents to Kyoto while they are in Japan
訴え|うったえ|Lawsuit / Appeal (not 訴訟)
和語|わご|Native Japanese word
盗聴|とうちょう|Wiretapping / Bugging
乱数|らんすう|Random number
ちんさんを先生として、中国語の勉強会を開いた|ちんさんを せんせいとして ちゅうごくごの べんきょうかいを ひらいた|With chin san as the teacher, the chinese language study group was opened
日々|ひび|daily, every day
設定可能|せっていかのう|Configurable
爆発音|ばくはつおん|Sound of an explosion
初日|しょにち|First day / Opening day
電気系統を図面で確かめました。|でんきけいとうを ずめんで たしかめました|I checked the electrical system on the diagram.
女王|じょおう|Queen (easy)
この笛は竹でできている|この ふえは たけでできている|This flute is made of bamboo.
制空権|せいくうけん|air superiority; mastery of the air
分析|ぶんせき|analysis
本名|ほんみょう|Ones real name
氷を細かく砕いてください。|こおりを こまかく くだいてください|Please crush the ice into small pieces.
発表|はっぴょう|Announcement
空ける|あける|Empty / Clear out
病室|びょうしつ|Sickroom / ward
殺し合い|しころしあい|Killing each other (remember this form!)
試験の結果いかんでは、卒業できないこともある|しけんの けっかいかんでは そつぎょうできないこともある|Depending on the exam results its possible also to fail graduation
不平等|ふびょうどう|Unequal / Unfair (not 不平)
治安|ちあん|Public order
3は奇数です。|は きすうです|Three is an odd number.
漏らす|もらす|To give away / let leak
このような無責任な行いに対して怒りを禁じ得ない。|このような むせきにんな おこないに たいして いかりを きんじ えない|I cannot hold back my anger at such an irresponsible deed.
定義|ていぎ|definition
アメリカに着いて初めてのカルチャーショックだった|に ついて はじめてのだった|It was my first culture shock after arriving in america
根本的に|こんぽんてきに|Fundamentally...
ハンカチ / ハンカチーフ||handkerchief
問答|もんどう|Dialogue
医師の話では、母の症状は深刻なようだ|いしの はなしでは ははの しょうじょうは しんこくなようだ|According to the doctor, mothers condition seems grave
チケットの割り当ては一人10枚です。|の りわりあては にん  まいです|Ten tickets are allocated per person.
四字熟語|よじじゅくご|Four character idiomatic compound
彼は今日入ったばかりの新人です。|かれは きょう はいったばかりの しんじんです|He is a newcomer who just started today.
丈夫|じょうぶ|Strong
電池を買っときます|でんちを かっときます|I'll buy batteries (abbv)
太平洋|たいへいよう|Pacific [Ocean]
彼女は和服がよく似合う。|かのじょは わふくがよく にあう|Traditional Japanese clothes suit her well.
変数宣言|へんすうせんげん|Variable declaration
会計士に資金運用について相談したよ。|かいけいしに しきんうんようについて そうだんしたよ|I consulted an accountant about managing my assets
その噂はすぐに広まったよ。|その うわさはすぐに ひろまったよ|The rumor spread quickly.
無知|むち|ignorant
あなたを驚かす話があります。|あなたを おどろかす はなしがあります|I have a story that will surprise you.
