鈍痛|どんつう|dull pain
兵力|へいりょく|Military force / Strength of an army
過剰反応|かじょうはんのう|Overreaction
無意識|む いしき|Unconsciously / Without thinking
富山県|とやまけん|Toyama-ken
鉄製|てつせい|made from iron
転換点|てんかんてん|turning point; tipping point; commutation point
私の立場からみると当然でしょう。|わたしの たちばからみると とうぜんでしょう|From my point of view, it makes sense.
防備|ぼうび|defense; defence; defensive preparations
逆説的|ぎゃくせつてき|Paradoxically
黄金律|おうごんりつ|(See 金科玉条) The Golden Rule ("do unto others as you would have them do unto you")
市場|しじょう|マーケット
中身|なかみ|Contents / Interior / Filling
爪切りを取ってください。|つめきりを とってください|Please pass me the nail clipper.
積み上げる|みつみあげる|To pile up / Make a heap / Laying bricks
あれから長い年月が経ちました。|あれから ながい としつきが たちました|A long time has passed since then.
賢明|けんめい|Wise
悪影響|あくえいきょう|Bad influence / Negative influence
万歳|ばんざい|Kanji for Banzai
絶妙なタイミング|ぜつみょうな|Exquisite timing
自社|じしゃ|Ones own company / firm
武術|ぶじゅつ|The martial arts / Wushu
別格|べっかく|special; extraordinary
実行力|じっこうりょく|Ability to get things done
一生|いっしょう|A lifetime
聖なる|せいなる|Sacred / Holy
彼はいやらしい男ね。|かれはいやらしい おとこね|He's a nasty man.
病死する|びょうしする|To die from illness
述べる|のべる|to state
私はどちらかと言うと外向的というよりは内向的だ。|わたしはどちらかと いうと がいこうてきというよりは ないこうてきだ|I'm more of an introvert than an extrovert.
操縦室|そうじゅうしつ|Cockpit / Flight Deck
新刊書|しんかんしょ|New publication
相場|そうば|market price, speculation
証拠品|しょうこひん|Evidence / Proof
時刻表|じこくひょう|[ Train ] Schedule
供給量|きょうきゅう りょう|Supply (actual supply of goods, amount)
手間|てま|Time and effort
日焼けで皮がむけた。|ひやけで かわがむけた|My skin peeled off due to sunburn.
チーズの製法を教えてください。|の せいほうを おしえてください|Would you teach me how to make cheese?
どんな所でも、住めは都だ|どんな ところでも すめは とだ|Any place is home once you live there
まともに風に向かって|まともに かぜに むかって|right in the wind
観衆|かんしゅう|Audience (iknow)
彼に対するやつらのむごい仕打ちには本当に涙が出たよ|かれに たいするやつらのむごい しうちには ほんとうに なみだが でたよ|Their cruel treatment of him really made me weep
一本取られた|いっぽん とられた|touché, you've got me there
黒幕となる|くろまくとなる|pull (the) strings / pull (the) wires
調査団|ちょうさだん|Inquiry commission / Research group
一人暮らし|ひとりぐらし|Living alone
彼女はとても若々しい人です。|かのじょはとても わかわかしい ひとです|She's a very youthful person.
常識|じょうしき|Common Sense
この柿は渋いね。|この かきは しぶいね|This persimmon is bitter.
文字の大きさは統一してください。|のもじのおおきさは とういつしてください|Please standardize the size of the characters.
基本|きほん|Basic
伍|ご|Five (used in legal documents)
密着|みっちゃく|Stick firmly to / Adhere
事故の現場はひどい有り様でした|じこの げんばはひどい りありさまでした|The accident scene was awful
照明|しょうめい|Illumination / Lighting
お年玉|お としだま|New years gift (not お歳暮)
不得意|ふとくい|not good at, weak
判定 (think E-Grade)|はんてい|Verdict / Judgement / to Judge (dragon zakura toudai grade)
警察がやって来て騒動を静めたんだ。|けいさつがやって きて そうどうを しずめたんだ|The police came and calmed the riot.
自撮り|じどり|1. taking a picture or video of oneself (esp. with a smartphone camera), selfie,
除雪する|じょせつする|To remove the snow
ずくめ - grammar|ずくめ|「ずくめ」 describes something that applies to the whole thing. For instance, if we w
寒いので、ストーブがつけてあります|さむいのでがつけてあります|The heater is on, because it is cold(The heater was turned on and has been kept 
すみません、人違いでした。|すみません ひとちがいでした|I'm sorry I mistook you for someone else.
私はこの子の保護者です。|わたしはこの この ほごしゃです|I'm this child's guardian.
疲れたでしょう、一旦休みましょう。|つかれたでしょう いったん やすみましょう|You must be tired; let's take a rest for a while.
お中元にビールが届きました。|お ちゅうげんにが とどきました|We received some beer as a summer gift.
第一子御出産の由、心からお祝い申し上げます。|だいいっし ご しゅっさんの ゆかり こころからお いわい しもうしあげます|I heard that you gave birth to your first child and I send my heartfelt congratu
彼女は振り向いて俺に微笑んだんだ。|かのじょは りふりむいて おれに ほほえんだんだ|She turned around and smiled at me.
昔はお金がなくて、電気や水道も止められる始末だった|むかしはお かねがなくて でんきや すいどうも とめられる しまつだった|I had so little money that my electricity and water were cut off
主義|しゅぎ|Principles / Doctrine
薄い|うすい|Thin / Light
着替える|きがえる|To change clothes
彼女は今、休養中です。|かのじょは いま きゅうよう ちゅうです|She is taking a rest now.
気まぐれで|きまぐれで|On a whim
愛用（の）|あいようの|Cherished / Beloved
吸い込む|いすいこむ|Inhale / suck in
性差別|せいさべつ|Sexual discrimination
目が疲れたので目薬をさしたよ。|めが つかれたので めぐすりをさしたよ|Because my eyes were tired, I put in some eye drops.
判子|はんこ|Personal Seal / stamp
害獣|がいじゅう|harmful animal
所属|しょぞく|Belonging / attachment
中破|ちゅうは|half damage
関連する|かんれんする|To be related
彼はあぐらをかいてしゃべっていますね。|かれはあぐらをかいてしゃべっていますね|He is talking while sitting cross-legged.
炊飯器|すいはんき|Rice Cooker
陸地|りくち|Land
この傘は柄が丈夫だな。|この かさは えが じょうぶだな|The handle of this umbrella is strong.
配分|はいぶん|distribution; allotment
即座の否定|そくざの ひてい|a straightaway denial
文法：　ではあるまいし|ぶんぽうではあるまいし|&quot;Its not as if&quot;&nbsp;&nbsp;giving a reason why something should not be
落ち目の政治家|ちおちめの せいじか|a politician who is down on his luck
私はあなたを時々見掛ける。|わたしはあなたを ときどき みかける|I see you every now and then
伸びをする|のびをする|Stretching (like after getting up from bed)
頭から～が離れない|あたまからが はなれない|Can't get ~ out of my head (a song?)
明晩|みょうばん|Tomorrow night
心臓は全身に血液を送り出している。|しんぞうは ぜんしんに けつえきを りおくりだしている|The heart sends blood to the whole body.
凍り付く|りこおりつく|To freeze to / To be frozen to
英雄|えいゆう|Hero
テーブルの上に本が置いてある|の うえに ほんが おいてある|A book is on the table( The book was put on the table and has been there ever si
私でさえ出来れば、あんたには楽ちんでしょう|わたしでさえ できればあんたには らくちんでしょう|If even I can do it, it should be a breeze for you
打ち上げる|ちうちあげる|Shoot up
絵を逆さにしてみてごらん。|えを さかさにしてみてごらん|Try looking at the picture upside down.
支援団体|しえんだんたい|A support group
彼女は朝早く起こされるのを嫌がるタイプです|かのじょは あさはやく おこされるのを いやがるです|My girlfriend is the type to show dislike towards getting woken up early in the 
お歳暮|お せいぼ|Year-end gift
人違い|ひとちがい|mistaken identity
彼は経験がない割には良くやっている。|かれは けいけんがない わりには よくやっている|He is doing very well considering he lacks experience.
従業員|じゅうぎょういん|Yet another word for employee or worker
他家|たけ|Another family
有名なバンドが来日していますね。|ゆうめいなが らいにちしていますね|A famous band has come to Japan.
変数|へんすう|Variable (programmming)
目隠す|め かくす|To blindfold
初回|しょかい|First time / Initial attempt
彼は上下おそろいの服を着ていますね。|かれは じょうげおそろいの ふくを きていますね|He is wearing a matching top and bottom.
白線|はくせん|White line
彼の体型じゃ既製のサイズに合わないよ。|かれの たいけいじゃ きせいのに あわないよ|His figure does not suit ready-to-wear clothing sizes.
皮膚をかく|ひふをかく|Scratch ones skin
その投資は現在６％の収益を彼にもたらしている。|その とうしは げんざい ぱーせんとの しゅうえきを かれにもたらしている|The investment now yields him 6%
飛び出す絵本|とび だす えほん|pop-up book
独身者パーティーを企画した。|どくしんしゃを きかくした|I made plans for a singles' party.
