孤児院|こじいん|Orphanage
彼の能力を見極める必要があります|かれの のうりょくを みきわめる ひつようがあります|It is necessary to assess his ability
審査委員会|しんさ いいんかい|Jury
錬金術|れんきんじゅつ|Alchemy / Making big money (implied by dubious means)
彼の背広に糸屑がついているわ。|かれの せびろに いとくずがついているわ|He has fluff on his suit.
弾道ミサイル|だんどうみさいる|Ballistic missile
都市伝説|としでんせつ|Urban legend
相違点|そういてん|(Points of) difference
頭領|とうりょう|Head / Chief / Boss
法線ベクトル|ほうせんべくとる|The normal vector
警察沙汰|けいさつざた|A matter for the police
感動する|かんどうする|To be moved / touched by ...
予期|よき|Anticipate
現地の天気は雨です。|げんちの てんきは あめです|The local weather is rain
気乗り|きのり|Interested in
難色を示す|なんしょくを しめす|showing disapproval
証明|しょうめい|Proof / Verification / Testimony / Witness
近く交通法が改正されます。|ちかく こうつう ほうが かいせいされます|Traffic regulations will soon be revised.
乾電池|かんでんち|Dry battery
彼女はマッサージを受け極楽気分だった|かのじょはを うけ ごくらく きぶんだった|She was in heaven after getting a massage
そのビルの建設は来年着工されます。|そのの けんせつは らいねん ちゃっこうされます|The construction of the building will be started next year
岩礁|がんしょう|reef
欧米|おうべい|Europe and America
地獄の釜|じごくの かま|the cauldron of Hell (in which sinners are boiled)
オムツ||Nappy / Diaper
彼女は国際的に著名な画家です。|かのじょは こくさいてきに ちょめいな がかです|She has international renown as a painter
流体力学|りゅうたいりきがく|fluid mechanics, fluid dynamics, hydrodynamics
心を清める。|こころを きよめる|Purification of the mind
深海|しんかい|Deep Sea ~
あの人の形相は怖いです|あの ひとの ぎょうそうは こわいです|That person has a scary "look" （形相＝look)
炭|すみ|Charcoal
睦み合う|むつみ あう|To get along well together
追跡プログラム|ついせき|trace program
弟の部屋はいつも散らかっているんだ。|おとうとの へやはいつも ちらかっているんだ|My little brother's room is always untidy.
学問|がくもん|Academia
彼女はお年寄りのために席を空けたんだ。|かのじょはお としよりのために せきを あけたんだ|She gave up her seat to the elderly person.
葛藤が解けたか|かっとうが とけたか|Is the trouble over?
梅雨　（他の読み方）|つゆ たの みよみかた|つゆ
彼は劇的な成功を博した。|かれは げきてきな せいこうを はくした|He won a dramatic success.
ワニ||Crocodile
そのために場内は騒然となった|そのために じょうないは そうぜんとなった|It threw the audience into an uproar.｜It caused quite a commotion in the hall
幼い|おさない|Very young / childish
立体的|りったいてき|three-dimensional
低周波|ていしゅうは|Low frequency waves
内側|うちがわ|Inside / Interior / Inward
辛抱のかいがあって、運が開けた。|しんぼうのかいがあって うんが あけた|My perseverance paid off, and my fortunes have changed for the better.
差し入れ|しさしいれ|Supply of provisions / refreshments etc to someone carrying out a task (those gu
安酒|やすざけ|Cheap sake
日焼け止め|けひやけどめ|Sunscreen / Sunblock
刃先|はさき|edge of blade
水蒸気|すいじょうき|Water Vapour / Steam
白状する|はくじょうする|To confess / own up
見下げる|みさげる|To look down on / To look down over
色盲のために、色彩の区別ができない人もいる。|しきもうのために しきさいの くべつができない ひともいる|Some people are color blind; they cannot tell one color from another
雨上がりのグラウンドはどろどろだ|あめあがりのはどろどろだ|After the rain the playing field is muddy
顧客心理を理解することは重要です。|こきゃく しんりを りかいすることは じゅうようです|It's important to understand customer psychology.
年越し|としこし|Closing of the year / end of year
金融業|きんゆうぎょう|Finance business / moneylending business
人をからかうのはよしなさい。|ひとをからかうのはよしなさい|Stop making fun of people.
瑣末|さまつ|Trivial / Trifling (matter of losing his email address)
取り次ぐ|りとりつぐ|relay a message, transfer a call
通り魔|りとおりま|Random attacker / Person who randomly attacks people on the street / Slasher
金看板|きんかんばん|signboard with gold or gilt lettering, slogan, noble cause
寒中|かんちゅう|Mid winter
避難所|ひなんじょ|Asylum / Haven / Sanctuary
名誉|めいよ|Honor / Credit / Prestige
その問題に関する君の情報は時代遅れだね|その もんだいに かんする きみの じょうほうは じだいおくれだね|Your information on that subject is out of date
甚大|じんだい|Very great / Enormous / Serious
採用試験は、毎年10月に行うものとする。|さいようしけんは まいとし  つきに おこなうものとする|We administer the employment examination every October.
着古す|き こす|To wear clothes for a long time / to wear out clothing
この先祖伝来の家宝は君の物だ。|この せんぞでんらいの かほうは きみの ものだ|This heirloom shall be yours
彼は伝統舞踏を見るのが好きだ|かれは でんとう ぶとうを みるのが すきだ|He likes to watch the traditional dance
暗がり|くらがり|darkness
起こる べくして 起こった事故だった|おこるべくして おこった じこだった|It was an accident waiting to happen
～と相まって　Grammar|と あいまって|Together with / と一緒になって
規則を施行する|きそくを しこうする|To enforce the rules
田舎の祖父は鶏の飼育をしている|いなかの そふは にわとりの しいくをしている|My uncle in the country breeds chickens
所帯を持つ|しょたいを もつ|to keep a house; to run a household
クソッタレ||Shithead / Bastard
行政機関には非常に厳格な階級制度がある。|ぎょうせい きかんには ひじょうに げんかくな かいきゅうせいどがある|There's a very rigid hierarchy in the Civil Service
一般社会の枠外にいる人|いっぱんしゃかいの わくがいにいる ひと|a person who is rejected by society
貨幣創出|かへい そうしゅつ|money creation
薄情|はくじょう|unfeeling; heartless; cold-hearted; cruel
メロメロ||Madly in love
発破|はっぱ|Explosive blast / Blasting (players at half time, apparently)
後ろ向き|ろうしろむき|Facing backward
床にペンキをこぼしてしまいました。|ゆかにをこぼしてしまいました|I spilt paint on the floor.
その通りはアスファルトで舗装されている。|その とおりはで ほそうされている|The street is paved with asphalt
彼は盗みの疑いをかけられたの。|かれは ぬすみの うたがいをかけられたの|He was suspected of the theft.
臨終|りんじゅう|Deathbed / Ones last moment
吸い上げる|いすいあげる|To pump off or out / to suck up or out / to siphon off (including wealth)
棘|とげ|Thorn / Splinter / Biting words
電話回線|でんわかいせん|Telephone line
流行歌|りゅうこうか|Popular song
逆撫で|さかなで|rubbing the wrong way (e.g. a cat); irritating
たくさん歩いてくたびれました。|たくさん あるいてくたびれました|I was worn out from walking so much.
あら探し|あら さがし|Finding fault / Being picky
我が国はオリンピックを境に、急速に発展した。|がわがくにはを さかいに きゅうそくに はってんした|Our country rapidly developed after the Olympics (オリンピックの後から)
堕落した女|だらくした おんな|a ruined girl
配球|はいきゅう|Combination of pitches
盗掘|とうくつ|Illegal Digging
並々ならぬ|なみなみならぬ|extraordinary; uncommon
辺|へん|"edge" as in when 3d modeling (select this edge etc)
所要時間|しょようじかん|The required time
削り取る|りけずりとる|To shave off / to scrape off
まともに日を受ける|まともに ひを うける|to have the sun in one's eyes
思いやり|おもいやり|Thoughtfulness / Kindness
旗色が悪いからこの辺でやめよう。|はたいろが わるいからこの へんでやめよう|The odds are against me, so I think I'll quit now.
下の下|したの した|(exp) the lowest (of its kind); the poorest
代行する|だいこうする|To act for X / to fill in / supply
彼は薬を一気に飲み込んだ。|かれは くすりを いっきに みのみこんだ|He swallowed all of the medicine in one go.
この小切手は不渡りになりました。|この こぎっては ふわたりになりました|This check was not honored
軍艦|ぐんかん|Warship
滝|たき|Waterfall
遊戯|ゆうぎ|Game / Play / Sports
名折れ|なおれ|A disgrace / A blot
切除|せつじょ|cut off; cut out; ablation; resection; surgical removal
この写真はピントがずれています|この しゃしんはがずれています|This photo is out of focus
丸っきり|まるっきり|Completely / Just like
滅菌|めっきん|sterilization, sterilisation
恩返し|おんがえし|Repay / to owe one / return a favour
括弧|かっこ|Parentheses / brackets
一世一代|いっせいちだい|Once in a lifetime / the first and last of a lifetime (great idea grantack!)
その薬は病気の進行に歯止めをかけた|その くすりは びょうきの しんこうに はどめをかけた|The medicine halted the progression of the disease
革張り|かわばり|Leather covered (sofa etc)
食器は金無垢だ|しょっきは きんむくだ|The plate is of pure gold
老後|ろうご|Ones old age
陸軍|りくぐん|Army
中立|ちゅうりつ|Neutrality
彼は柔道で腰を傷めたんだ。|かれは じゅうどうで こしを いためたんだ|He hurt his lower back doing judo.
暇つぶし|ひまつぶし|Waste of time / killing time
巧妙な|こうみょうな|Shrewd / Ingenious / Clever / Smart
か弱い|か よわい|Frail / Weak
密閉|みっぺい|Seal off / Airtight
消極的|しょうきょくてき|Negative / Passive
彼は大昔の流行歌を口ずさんだ|かれは おおむかしの りゅうこうかを くちずさんだ|He hummed a popular song from years ago
交わる|まじわる|To Cross / Intersect
斜め|ななめ|Diagonal / Slant
相棒|あいぼう|Pal / Buddy / Mate
問いただす|といただす|To enquire of someone about something
目まいがする|めまいがする|to Feel faint
退治|たいじ|Extermination
意識不明|いしきふめい|Unconscious / Senseless
